                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.58792,                0.66549,                0.60349,                0.89183,                0.90143,                      1,                0.98357,                0.75263,                0.90143,                      1,                0.98357,                0.70662,                0.83453,                 1.6245,                0.76588,                 1.1954,              0.0012709,              0.0012709,              0.0012709
                     26,                0.58642,                0.62567,                0.60795,                0.88421,                0.92288,                0.99981,                0.98357,                0.74309,                0.92288,                0.99981,                0.98357,                0.71341,                0.91124,                 1.3784,                 0.6987,                 1.2842,              0.0012544,              0.0012544,              0.0012544
                     27,                0.61056,                0.64117,                0.60491,                0.90338,                 0.9043,                      1,                0.98357,                 0.7354,                 0.9043,                      1,                0.98357,                  0.746,                 0.8066,                 1.2606,                0.66265,                 1.2584,              0.0012379,              0.0012379,              0.0012379
                     28,                0.68337,                0.60677,                0.63211,                0.91535,                0.99169,                0.95029,                  0.995,                0.79229,                0.99169,                0.95029,                  0.995,                0.79521,                0.76929,                 1.2574,                0.65568,                 1.1617,              0.0012214,              0.0012214,              0.0012214
                     29,                0.64202,                0.61933,                 0.6281,                0.92176,                0.97166,                0.96208,                  0.995,                0.76123,                0.97166,                0.96208,                  0.995,                0.77639,                0.80258,                 1.1587,                0.66108,                  1.171,              0.0012049,              0.0012049,              0.0012049
                     30,                0.60287,                0.57051,                0.59605,                0.89864,                0.93411,                0.98842,                  0.995,                0.80373,                0.93411,                0.98842,                  0.995,                0.78965,                 0.6974,                 1.1917,                0.55375,                 1.1525,              0.0011884,              0.0011884,              0.0011884
                     31,                0.61188,                0.55613,                0.58299,                0.90608,                0.97026,                0.94029,                  0.995,                0.78888,                0.97026,                0.94029,                  0.995,                0.79003,                 0.7115,                 1.1863,                0.60749,                 1.1375,              0.0011719,              0.0011719,              0.0011719
                     32,                0.58658,                0.62663,                0.58153,                0.89195,                0.95431,                0.96633,                  0.995,                 0.7461,                0.95431,                0.96633,                  0.995,                0.76399,                0.75385,                 1.2068,                0.60033,                  1.152,              0.0011554,              0.0011554,              0.0011554
                     33,                0.55464,                0.56938,                0.54549,                0.90629,                0.94717,                0.99203,                  0.995,                0.80615,                0.94717,                0.99203,                  0.995,                 0.7772,                0.72499,                 1.1518,                0.59122,                 1.1478,              0.0011389,              0.0011389,              0.0011389
                     34,                0.51301,                0.50057,                0.52213,                0.87936,                0.98264,                0.91667,                  0.975,                0.79669,                0.98264,                0.91667,                  0.975,                0.80834,                0.67906,                 0.9619,                0.65737,                 1.0655,              0.0011224,              0.0011224,              0.0011224
                     35,                0.55468,                0.53854,                0.53026,                0.87958,                0.98755,                0.91667,                0.98357,                0.78349,                0.98755,                0.91667,                0.98357,                0.78467,                0.74881,                 1.0223,                0.57805,                 1.0506,              0.0011059,              0.0011059,              0.0011059
                     36,                0.53229,                0.49131,                0.51838,                0.88526,                0.96158,                0.99539,                  0.995,                0.78959,                0.96158,                0.99539,                  0.995,                0.79158,                0.80655,                 1.0021,                0.52439,                 1.1101,              0.0010894,              0.0010894,              0.0010894
                     37,                0.51844,                0.55653,                0.51215,                0.89253,                0.96043,                0.99535,                  0.995,                0.77775,                0.96043,                0.99535,                  0.995,                0.77129,                 0.8498,                 1.1072,                0.57371,                 1.1418,              0.0010729,              0.0010729,              0.0010729
                     38,                0.52675,                0.56715,                0.49639,                0.87087,                0.98353,                0.99913,                  0.995,                 0.7836,                0.98353,                0.99913,                  0.995,                 0.7708,                0.84335,                 1.1261,                0.59959,                 1.1302,              0.0010564,              0.0010564,              0.0010564
                     39,                0.51397,                0.50162,                0.51025,                0.88237,                0.96918,                0.99713,                  0.995,                0.78863,                0.96918,                0.99713,                  0.995,                0.79208,                0.82339,                 1.0449,                0.53597,                 1.1614,              0.0010399,              0.0010399,              0.0010399
                     40,                0.50427,                0.58276,                0.48401,                0.87975,                0.97133,                0.99718,                  0.995,                 0.8628,                0.97133,                0.99718,                  0.995,                0.78511,                0.71274,                0.96765,                 0.5309,                 1.1309,              0.0010234,              0.0010234,              0.0010234
                     41,                0.47845,                0.52338,                0.46303,                0.86197,                0.97963,                 0.9957,                  0.995,                0.81935,                0.97963,                 0.9957,                  0.995,                0.80244,                0.72198,                  1.238,                 0.5125,                 1.1229,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.5247,                0.53684,                0.49578,                0.89505,                0.98728,                      1,                  0.995,                0.86356,                0.98728,                      1,                  0.995,                0.83456,                0.74081,                  1.122,                0.50491,                 1.1299,             0.00099036,             0.00099036,             0.00099036
                     43,                0.49328,                0.51126,                0.46166,                0.86326,                0.98773,                      1,                  0.995,                0.77755,                0.98773,                      1,                  0.995,                0.78689,                0.85352,                 1.2237,                0.53858,                 1.1798,             0.00097386,             0.00097386,             0.00097386
                     44,                0.50232,                 0.5053,                0.47064,                0.87386,                0.97803,                      1,                  0.995,                0.77159,                0.97803,                      1,                  0.995,                0.76564,                0.81784,                 1.3203,                0.47617,                 1.1839,             0.00095736,             0.00095736,             0.00095736
                     45,                0.51879,                0.45795,                0.48239,                0.86969,                0.97889,                      1,                  0.995,                 0.7461,                0.97889,                      1,                  0.995,                0.76272,                 0.8662,                 1.4137,                0.51335,                 1.2338,             0.00094085,             0.00094085,             0.00094085
                     46,                0.48867,                 0.5329,                 0.4488,                0.86427,                0.98449,                      1,                  0.995,                0.80449,                0.98449,                      1,                  0.995,                0.75181,                0.78486,                 1.3013,                0.46419,                 1.2449,             0.00092435,             0.00092435,             0.00092435
                     47,                0.48157,                0.46604,                0.43976,                0.84039,                0.99243,                      1,                  0.995,                0.79546,                0.99243,                      1,                  0.995,                0.79148,                0.76621,                 1.2382,                0.44446,                 1.2066,             0.00090785,             0.00090785,             0.00090785
                     48,                0.44201,                0.45804,                0.42427,                0.85607,                 0.9872,                      1,                  0.995,                0.77745,                 0.9872,                      1,                  0.995,                0.77196,                0.78803,                  1.151,                0.46585,                 1.1807,             0.00089134,             0.00089134,             0.00089134
                     49,                0.47391,                0.54045,                0.44584,                0.86402,                0.98705,                      1,                  0.995,                0.80726,                0.98705,                      1,                  0.995,                0.76702,                0.76482,                 1.2234,                0.44218,                 1.1886,             0.00087484,             0.00087484,             0.00087484
                     50,                0.43739,                0.48596,                0.42737,                0.84777,                0.98592,                      1,                  0.995,                0.81499,                0.98592,                      1,                  0.995,                0.72702,                0.76426,                 1.3689,                0.43272,                 1.2013,             0.00085834,             0.00085834,             0.00085834
                     51,                0.47509,                0.46384,                0.42885,                0.86294,                0.98606,                      1,                  0.995,                0.77907,                0.98606,                      1,                  0.995,                0.72552,                0.82878,                 1.4678,                0.45324,                 1.1923,             0.00084184,             0.00084184,             0.00084184
                     52,                0.46475,                0.47692,                0.43351,                0.85916,                0.99054,                      1,                  0.995,                 0.8273,                0.99054,                      1,                  0.995,                0.74295,                0.76892,                  1.178,                0.42322,                 1.1624,             0.00082533,             0.00082533,             0.00082533
                     53,                0.44803,                0.45636,                0.41842,                0.85874,                 0.9908,                      1,                  0.995,                0.81182,                 0.9908,                      1,                  0.995,                0.76754,                0.72368,                 1.0464,                0.42614,                 1.1688,             0.00080883,             0.00080883,             0.00080883
                     54,                0.44042,                0.44477,                0.40618,                0.84414,                0.98942,                      1,                  0.995,                0.79518,                0.98942,                      1,                  0.995,                0.77565,                0.68919,                0.90079,                0.39659,                 1.1477,             0.00079233,             0.00079233,             0.00079233
